bin1 bin2 count
957 4124 13 1.1295061582104784e-13
957 4125 29 9.970824759824369e-39
962 4535 16 6.679588877218486e-18
965 5103 10 9.456933759848595e-10
977 4180 10 9.456933759848595e-10
982 2194 10 9.456933759848595e-10
990 3966 13 1.1295061582104784e-13
1013 5101 10 9.456933759848595e-10
1033 3880 25 5.850259254768592e-32
1035 1140 34 1.492017555413094e-47
1035 3159 11 5.086229766307076e-11
1040 1879 11 5.086229766307076e-11
1050 3438 16 6.679588877218486e-18
1061 2652 11 5.086229766307076e-11
1070 3426 10 9.456933759848595e-10
1085 1703 17 2.276949513284109e-19
1085 1704 12 2.499011608308997e-12
1085 2309 21 1.7261417027865884e-25
1085 2310 10 9.456933759848595e-10
1085 3083 15 1.8378350711078343e-16
1086 3083 26 1.2630404317408847e-33
1086 4660 12 2.499011608308997e-12
1087 3083 18 7.304956297338264e-21
1088 3083 17 2.276949513284109e-19
1089 3083 17 2.276949513284109e-19
1090 3083 21 1.7261417027865884e-25
1091 3083 18 7.304956297338264e-21
1092 3083 22 4.467592626069736e-27
1093 3083 11 5.086229766307076e-11
1094 3083 12 2.499011608308997e-12
1095 3083 13 1.1295061582104784e-13
1096 3083 17 2.276949513284109e-19
1097 3083 12 2.499011608308997e-12
1098 3083 17 2.276949513284109e-19
1099 3083 18 7.304956297338264e-21
1100 3083 12 2.499011608308997e-12
1101 3083 19 2.2124811233675724e-22
1101 4855 11 5.086229766307076e-11
1102 3083 16 6.679588877218486e-18
1103 3083 18 7.304956297338264e-21
1104 3083 13 1.1295061582104784e-13
