cell_nm	passed_qc	group
1CDX3_342	1	late-S/G2
1CDX3_343	1	late-S/G2
1CDX3_344	1	late-S/G2
1CDX3_345	1	late-S/G2
1CDX3_346	1	late-S/G2
1CDX3_347	1	early-S
1CDX3_348	0	NA
1CDX3_351	0	NA
1CDX3_352	1	late-S/G2
1CDX3_353	1	late-S/G2
1CDX3_354	1	late-S/G2
1CDX3_355	1	late-S/G2
1CDX3_356	1	late-S/G2
1CDX3_357	1	early-S
1CDX3_358	1	late-S/G2
1CDX3_361	0	NA
1CDX3_362	1	early-S
1CDX3_363	1	late-S/G2
1CDX3_364	1	late-S/G2
1CDX3_365	1	late-S/G2
1CDX3_366	1	late-S/G2
1CDX3_367	0	NA
1CDX3_368	1	early-S
1CDX3_371	0	NA
1CDX3_372	1	late-S/G2
1CDX3_373	1	early-S
1CDX3_374	0	NA
1CDX3_375	0	NA
1CDX3_376	0	NA
1CDX3_377	0	NA
1CDX3_378	0	NA
1CDX3_381	0	NA
1CDX3_382	1	late-S/G2
1CDX3_383	1	late-S/G2
1CDX3_384	1	late-S/G2
1CDX3_385	0	NA
1CDX3_386	0	NA
1CDX3_387	1	early-S
1CDX3_388	0	NA
1CDX3_391	0	NA
1CDX3_392	1	late-S/G2
1CDX3_393	0	NA
1CDX3_394	0	NA
1CDX3_395	1	early-S
1CDX3_396	0	NA
1CDX3_397	0	NA
1CDX3_398	0	NA
1CDX3_401	0	NA
1CDX3_402	0	NA
1CDX3_403	0	NA
1CDX3_404	0	NA
1CDX3_405	0	NA
1CDX3_406	1	late-S/G2
1CDX3_407	0	NA
1CDX3_408	0	NA
1CDX3_411	1	early-S
1CDX3_412	1	late-S/G2
1CDX3_413	0	NA
1CDX3_414	0	NA
1CDX3_415	0	NA
1CDX3_416	0	NA
1CDX3_417	0	NA
1CDX3_418	0	NA
1CDX3_421	0	NA
1CDX3_422	0	NA
1CDX3_423	0	NA
1CDX3_424	1	early-S
1CDX3_425	0	NA
1CDX3_426	1	late-S/G2
1CDX3_427	0	NA
1CDX3_428	1	late-S/G2
1CDX3_431	0	NA
1CDX3_432	0	NA
1CDX3_433	0	NA
1CDX3_434	0	NA
1CDX3_435	0	NA
1CDX3_436	0	NA
1CDX3_437	1	G1
1CDX3_438	1	late-S/G2
1CDX3_441	0	NA
1CDX3_442	0	NA
1CDX3_443	1	late-S/G2
1CDX3_444	0	NA
1CDX3_445	0	NA
1CDX3_446	0	NA
1CDX3_447	1	late-S/G2
1CDX3_448	0	NA
1CDX3_451	0	NA
1CDX3_452	1	early-S
1CDX3_453	0	NA
1CDX3_454	0	NA
1CDX3_455	1	early-S
1CDX3_456	0	NA
1CDX3_457	0	NA
1CDX3_458	0	NA
1CDX3_461	0	NA
1CDX3_462	0	NA
1CDX3_463	0	NA
1CDX3_464	0	NA
1CDX3_465	0	NA
1CDX3_466	1	late-S/G2
1CDX3_467	0	NA
1CDX3_468	0	NA
1CDX3_471	0	NA
1CDX3_472	0	NA
1CDX3_473	1	early-S
1CDX3_474	0	NA
1CDX3_475	1	late-S/G2
1CDX3_476	0	NA
1CDX3_477	0	NA
1CDX3_478	0	NA
1CDX3_481	0	NA
1CDX3_482	0	NA
1CDX3_483	1	early-S
1CDX3_484	1	late-S/G2
1CDX3_485	0	NA
1CDX3_486	1	early-S
1CDX3_487	0	NA
1CDX3_488	0	NA
1CDX4_11	1	late-S/G2
1CDX4_12	1	late-S/G2
1CDX4_13	1	late-S/G2
1CDX4_14	1	late-S/G2
1CDX4_15	1	pre-M
1CDX4_16	1	pre-M
1CDX4_17	1	late-S/G2
1CDX4_18	0	NA
1CDX4_21	0	NA
1CDX4_22	1	late-S/G2
1CDX4_23	1	late-S/G2
1CDX4_24	1	late-S/G2
